rank, mutationIntensity, fitness, extra, genes
2, 0.02511612770301124, 1.00000000000000000e+02, , 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111
0, 0.00000000000000000, 9.90000000000000000e+01, , 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1101 1111 1111 1111 1111
1, 0.01000000000000000, 9.90000000000000000e+01, , 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1101 1111 1111 1111 1111
3, 0.04304374044523712, 9.80000000000000000e+01, , 1111 1111 1111 0111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1101 1111 1111 1111 1111
4, 0.06308198707939691, 9.50000000000000000e+01, , 1111 1111 1111 0111 1111 1111 1111 1011 1111 0111 1111 1011 1111 1111 1111 1111 1111 1111 1111 1111 1101 1111 1111 1111 1111
5, 0.08485186069054183, 9.00000000000000000e+01, , 1111 1111 1011 1111 1111 1111 1111 1001 1111 1111 1111 1111 1111 1111 0111 1011 1110 1111 1110 1111 1101 1111 1011 0111 1111
8, 0.15843752432458386, 8.40000000000000000e+01, , 0111 0101 1101 1111 1111 1111 1111 1110 1111 1111 0111 1101 1111 0101 0111 0110 1111 1111 1110 1111 1101 0111 1111 1110 1111
6, 0.10810920818378461, 8.30000000000000000e+01, , 1101 1111 0111 1111 1011 0111 0011 1111 1111 1111 1111 1101 1111 0111 0110 0111 1111 1110 1111 1101 1101 0111 0111 1110 1111
10, 0.21311501689417695, 7.70000000000000000e+01, , 1111 1111 1111 1110 1100 0110 1110 1110 1101 0010 1110 1110 1101 1111 0011 1101 1101 1111 0011 1111 1101 0111 1110 1111 1111
9, 0.18527635915169430, 7.40000000000000000e+01, , 1111 0111 1101 1110 1111 1111 1101 1111 1111 1010 1111 0101 1011 1001 1010 0001 1111 1101 1101 1010 1011 1001 1110 0011 1111
7, 0.13268112095162987, 7.20000000000000000e+01, , 0110 0011 0011 0111 1110 1111 1110 1011 1001 1111 0110 1111 1101 1111 1011 1001 1011 1100 0111 1100 1100 1111 0101 1111 1111
11, 0.24188501041454627, 7.10000000000000000e+01, , 1111 1111 1100 0110 0111 0011 0111 1100 1111 1100 1110 1010 1011 1101 1111 1001 1101 1101 1001 0111 1101 1101 1111 1111 0001
12, 0.27152846786153634, 6.80000000000000000e+01, , 1101 0010 0110 1111 1111 0101 1001 1101 1111 1111 1011 1110 1111 0011 0110 0100 0111 1101 0010 1111 1100 1111 0101 0111 0101
13, 0.30199572272761815, 6.60000000000000000e+01, , 0111 1100 0000 1011 1111 1101 1111 1010 1010 0011 1110 1111 1011 1001 1110 0111 1111 1000 0110 1111 0001 1110 0111 1110 0101
15, 0.36523414678591040, 5.70000000000000000e+01, , 1111 1101 1000 1100 0001 0111 0100 1110 1000 0010 0110 1011 1010 1101 0111 0010 0111 1111 0001 0110 1110 1101 0111 0100 1011
16, 0.39793370938852000, 5.70000000000000000e+01, , 0111 1111 0101 0100 1110 0110 1000 1101 0011 0110 1101 1010 1011 1011 1100 1111 1101 0100 1101 0001 1001 0000 1011 0101 0101
17, 0.43131218565900964, 5.70000000000000000e+01, , 1111 0010 0110 1110 0111 1110 0011 1001 0110 1110 1010 0101 1110 1110 1111 0000 1010 1010 1101 1110 0001 1001 0000 0110 1110
14, 0.33324359775998180, 5.30000000000000000e+01, , 0001 0000 1001 1111 1111 0110 1101 1001 0011 1110 1110 1010 1011 1000 0110 0010 1110 1100 0011 1101 0011 0100 0111 0000 1100
18, 0.46534246968029320, 5.00000000000000000e+01, , 0010 0000 0111 1000 1101 0101 1011 0110 0011 0010 1001 1011 0011 0011 0100 1101 0010 0000 0101 1000 1110 1101 1110 1110 1101
19, 0.50000000000000000, 4.90000000000000000e+01, , 1000 1011 0101 1001 0110 1110 1010 0001 0111 0001 0001 1001 0101 0011 1001 0101 0110 1001 0101 1101 0010 0001 0100 0101 1111
