rank, mutationIntensity, fitness, extra, genes
0, 0.00000000000000000, 1.00000000000000000e+02, , 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111
1, 0.01000000000000000, 9.90000000000000000e+01, , 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1101 1111 1111 1111
2, 0.02511612770301124, 9.60000000000000000e+01, , 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1110 1111 1111 1101 1111 1111 1111 1111 1110 1101 1111 1111 1111
3, 0.04304374044523712, 9.60000000000000000e+01, , 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 0111 1111 1111 1111 1111 1100 1111 1111 1111 1110 1111 1111 1111
5, 0.08485186069054183, 9.50000000000000000e+01, , 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1110 1011 1111 1111 1111 1111 1011 1111 1111 1111 1100 1111 1111 1111
4, 0.06308198707939691, 9.20000000000000000e+01, , 1110 1111 1110 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1001 1111 1111 1111 1101 1111 1111 1111 1110 1101 1110 1111
6, 0.10810920818378461, 8.80000000000000000e+01, , 1111 1111 1111 1111 1111 1111 1110 1111 1111 1111 0111 1111 1110 1101 1111 1111 1111 1100 1111 1100 1111 1101 0111 1111 1001
7, 0.13268112095162987, 8.70000000000000000e+01, , 1111 1111 1111 1111 1111 1101 1110 0111 1111 1111 0110 1111 1110 1111 1111 1111 1011 1100 0111 1111 1111 1101 1111 0111 1110
8, 0.15843752432458386, 8.00000000000000000e+01, , 1011 1101 1101 1111 1101 1011 0111 0111 1110 1101 1111 1111 1111 1010 1010 1111 1111 0001 1011 1101 1111 1101 1111 1101 1111
11, 0.24188501041454627, 7.70000000000000000e+01, , 1110 0111 1111 0100 1111 0110 1111 0100 1001 1111 1111 1110 0110 1111 1101 1110 1011 1111 1011 1011 1111 1111 1101 1110 1011
10, 0.21311501689417695, 7.40000000000000000e+01, , 1101 1000 1110 1001 1011 1111 1101 1111 1111 1110 1011 1111 1101 1110 1111 1111 1101 1111 1001 1011 1010 1101 1011 1000 0101
9, 0.18527635915169430, 7.20000000000000000e+01, , 1011 1110 1101 1110 1111 0001 1011 1111 1111 0111 1011 1010 1111 0111 0101 1001 0110 1110 1111 1010 1110 1101 1110 0011 1101
12, 0.27152846786153634, 6.90000000000000000e+01, , 1111 1111 1111 1010 0001 1101 1000 0011 0001 0101 1110 1110 0111 0111 0111 1111 0111 1111 0101 0110 1111 0011 0111 1101 0111
16, 0.39793370938852000, 6.30000000000000000e+01, , 1111 1101 1110 0111 1001 1011 0100 0011 0101 0101 0010 0011 0011 0111 0011 1101 1110 1111 0011 1101 0111 0111 1001 0110 1101
13, 0.30199572272761815, 6.10000000000000000e+01, , 0111 0111 0011 0010 1111 1001 1001 0011 1011 1101 1001 0110 1011 0011 1111 1011 1110 0001 0001 1011 0111 1001 0111 0110 1001
14, 0.33324359775998180, 6.00000000000000000e+01, , 0000 0111 0110 1011 1010 1111 1101 1000 0111 1011 1101 1111 1000 1111 1010 0000 1010 1010 1111 1111 0010 1010 0100 0111 0111
15, 0.36523414678591040, 5.90000000000000000e+01, , 0110 0111 0010 1001 1000 1000 0100 1000 1110 1001 1110 0111 1001 0111 1110 1101 1000 1100 1110 0111 1011 0111 1111 1010 1111
17, 0.43131218565900964, 5.50000000000000000e+01, , 1110 1111 1110 0101 1110 0100 0010 0010 1101 1110 1111 1011 1010 0111 0011 0001 1001 1100 1100 1110 0100 0010 0100 1100 0110
18, 0.46534246968029320, 5.40000000000000000e+01, , 1111 1011 0110 1101 0010 0011 1100 1111 0010 0011 0101 0000 0100 0000 1111 1000 1101 1011 0111 1110 1011 0001 0011 0110 0110
19, 0.50000000000000000, 4.90000000000000000e+01, , 0100 1000 1100 1111 1011 0110 1110 0101 1101 0000 1000 1110 0110 0010 1111 1111 1100 0000 0010 1100 1000 1011 1000 1100 0001
